fp1,fp2,fp3
2022-06-23,MSU-horticulture-farm-bees-141253,205
2022-06-23,MSU-horticulture-farm-bees-141253,210
2022-06-23,MSU-horticulture-farm-bees-141253,211
2022-06-23,MSU-horticulture-farm-bees-141253,214
2022-06-23,MSU-horticulture-farm-bees-141253,215
2022-06-23,MSU-horticulture-farm-bees-141253,220
2022-06-23,MSU-horticulture-farm-bees-141253,226
2022-06-23,MSU-horticulture-farm-bees-141253,227
2022-06-23,MSU-horticulture-farm-bees-141253,229
2022-06-23,MSU-horticulture-farm-bees-141253,233
2022-06-23,MSU-horticulture-farm-bees-141253,246
2022-06-23,MSU-horticulture-farm-bees-141253,248
2022-06-23,MSU-horticulture-farm-bees-141253,253
2022-06-23,MSU-horticulture-farm-bees-141253,267
2022-06-23,MSU-horticulture-farm-bees-141253,268
2022-06-23,MSU-horticulture-farm-bees-141253,272
2022-06-23,MSU-horticulture-farm-bees-141253,273
2022-06-23,MSU-horticulture-farm-bees-141253,274
2022-06-23,MSU-horticulture-farm-bees-141253,285
2022-06-23,MSU-horticulture-farm-bees-141253,289
2022-06-23,MSU-horticulture-farm-bees-141253,290
2022-06-23,MSU-horticulture-farm-bees-141253,291
2022-06-23,MSU-horticulture-farm-bees-141253,293
2022-06-23,MSU-horticulture-farm-bees-141253,302
2022-06-23,MSU-horticulture-farm-bees-141253,303
2022-06-23,MSU-horticulture-farm-bees-141253,308
2022-06-23,MSU-horticulture-farm-bees-141253,315
2022-06-23,MSU-horticulture-farm-bees-141253,342
2022-06-23,MSU-horticulture-farm-bees-141253,345
2022-06-23,MSU-horticulture-farm-bees-141253,352
2022-06-23,MSU-horticulture-farm-bees-141253,354
2022-06-23,MSU-horticulture-farm-bees-141253,358
2022-06-23,MSU-horticulture-farm-bees-141253,364
2022-06-23,MSU-horticulture-farm-bees-141253,365
2022-06-23,MSU-horticulture-farm-bees-141253,369
2022-06-23,MSU-horticulture-farm-bees-141253,371
2022-06-23,MSU-horticulture-farm-bees-141253,375
2022-06-23,MSU-horticulture-farm-bees-141253,381
2022-06-23,MSU-horticulture-farm-bees-141253,383
2022-06-23,MSU-horticulture-farm-bees-141253,388
2022-06-23,MSU-horticulture-farm-bees-141253,398
2022-06-23,MSU-horticulture-farm-bees-141253,414
2022-06-23,MSU-horticulture-farm-bees-141253,433
2022-06-23,MSU-horticulture-farm-bees-141253,438
2022-06-23,MSU-horticulture-farm-bees-141253,442
2022-06-23,MSU-horticulture-farm-bees-141253,456
2022-06-23,MSU-horticulture-farm-bees-141253,465
2022-06-23,MSU-horticulture-farm-bees-141253,467
2022-06-23,MSU-horticulture-farm-bees-141253,470
2022-06-23,MSU-horticulture-farm-bees-141253,477
2022-06-23,MSU-horticulture-farm-bees-141253,501
2022-06-23,MSU-horticulture-farm-bees-141253,503
2022-06-23,MSU-horticulture-farm-bees-141253,510
2022-06-23,MSU-horticulture-farm-bees-144154,22
2022-06-23,MSU-horticulture-farm-bees-144154,54
2022-06-23,MSU-horticulture-farm-bees-144154,55
2022-06-23,MSU-horticulture-farm-bees-144154,56
2022-06-23,MSU-horticulture-farm-bees-144154,68
2022-06-23,MSU-horticulture-farm-bees-144154,69
2022-06-23,MSU-horticulture-farm-bees-144154,99
2022-06-23,MSU-horticulture-farm-bees-144154,102
2022-06-23,MSU-horticulture-farm-bees-144154,116
2022-06-23,MSU-horticulture-farm-bees-144154,134
2022-06-23,MSU-horticulture-farm-bees-144154,140
2022-06-23,MSU-horticulture-farm-bees-144154,146
2022-06-23,MSU-horticulture-farm-bees-144154,155
2022-06-23,MSU-horticulture-farm-bees-144154,191
2022-06-23,MSU-horticulture-farm-bees-144154,196
2022-06-23,MSU-horticulture-farm-bees-144154,208
2022-06-23,MSU-horticulture-farm-bees-144154,214
2022-06-23,MSU-horticulture-farm-bees-144154,221
2022-06-23,MSU-horticulture-farm-bees-144154,240
2022-06-23,MSU-horticulture-farm-bees-144154,250
2022-06-23,MSU-horticulture-farm-bees-145241,9
2022-06-23,MSU-horticulture-farm-bees-145241,22
2022-06-23,MSU-horticulture-farm-bees-145241,31
2022-06-23,MSU-horticulture-farm-bees-145241,41
2022-06-23,MSU-horticulture-farm-bees-145241,56
2022-06-23,MSU-horticulture-farm-bees-145241,62
2022-06-23,MSU-horticulture-farm-bees-145241,63
2022-06-23,MSU-horticulture-farm-bees-145241,70
2022-06-23,MSU-horticulture-farm-bees-145241,74
2022-06-23,MSU-horticulture-farm-bees-145241,76
2022-06-23,MSU-horticulture-farm-bees-145241,86
2022-06-23,MSU-horticulture-farm-bees-145241,95
2022-06-23,MSU-horticulture-farm-bees-145241,99
2022-06-23,MSU-horticulture-farm-bees-145241,105
2022-06-23,MSU-horticulture-farm-bees-145241,107
2022-06-23,MSU-horticulture-farm-bees-145241,115
2022-06-23,MSU-horticulture-farm-bees-145241,119
2022-06-23,MSU-horticulture-farm-bees-145241,127
2022-06-23,MSU-horticulture-farm-bees-145241,131
2022-06-23,MSU-horticulture-farm-bees-145241,146
2022-06-23,MSU-horticulture-farm-bees-145241,155
2022-06-23,MSU-horticulture-farm-bees-145241,189
2022-06-23,MSU-horticulture-farm-bees-145241,193
2022-06-23,MSU-horticulture-farm-bees-145241,211
2022-06-23,MSU-horticulture-farm-bees-145241,224
2022-06-23,MSU-horticulture-farm-bees-145241,226
2022-06-23,MSU-horticulture-farm-bees-145241,227
2022-06-23,MSU-horticulture-farm-bees-145241,247
2022-06-23,MSU-horticulture-farm-bees-145241,254
2022-06-24,MSU-horticulture-farm-bees-095001,8
2022-06-24,MSU-horticulture-farm-bees-095001,13
2022-06-24,MSU-horticulture-farm-bees-095001,23
2022-06-24,MSU-horticulture-farm-bees-095001,24
2022-06-24,MSU-horticulture-farm-bees-095001,25
2022-06-24,MSU-horticulture-farm-bees-095001,27
2022-06-24,MSU-horticulture-farm-bees-095001,30
2022-06-24,MSU-horticulture-farm-bees-095001,31
2022-06-24,MSU-horticulture-farm-bees-095001,37
2022-06-24,MSU-horticulture-farm-bees-095001,41
2022-06-24,MSU-horticulture-farm-bees-095001,43
2022-06-24,MSU-horticulture-farm-bees-095001,62
2022-06-24,MSU-horticulture-farm-bees-095001,70
2022-06-24,MSU-horticulture-farm-bees-095001,77
2022-06-24,MSU-horticulture-farm-bees-095001,78
2022-06-24,MSU-horticulture-farm-bees-095001,79
2022-06-24,MSU-horticulture-farm-bees-095001,86
2022-06-24,MSU-horticulture-farm-bees-095001,93
2022-06-24,MSU-horticulture-farm-bees-095001,97
2022-06-24,MSU-horticulture-farm-bees-095001,108
2022-06-24,MSU-horticulture-farm-bees-095001,110
2022-06-24,MSU-horticulture-farm-bees-095001,123
2022-06-24,MSU-horticulture-farm-bees-095001,124
2022-06-24,MSU-horticulture-farm-bees-095001,131
2022-06-24,MSU-horticulture-farm-bees-095001,132
2022-06-24,MSU-horticulture-farm-bees-095001,143
2022-06-24,MSU-horticulture-farm-bees-095001,151
2022-06-24,MSU-horticulture-farm-bees-095001,152
2022-06-24,MSU-horticulture-farm-bees-095001,153
2022-06-24,MSU-horticulture-farm-bees-095001,155
2022-06-24,MSU-horticulture-farm-bees-095001,157
2022-06-24,MSU-horticulture-farm-bees-095001,159
2022-06-24,MSU-horticulture-farm-bees-095001,170
2022-06-24,MSU-horticulture-farm-bees-095001,174
2022-06-24,MSU-horticulture-farm-bees-095001,183
2022-06-24,MSU-horticulture-farm-bees-095001,191
2022-06-24,MSU-horticulture-farm-bees-095001,197
2022-06-24,MSU-horticulture-farm-bees-095001,198
2022-06-24,MSU-horticulture-farm-bees-095001,200
2022-06-24,MSU-horticulture-farm-bees-095001,204
2022-06-24,MSU-horticulture-farm-bees-095001,208
2022-06-24,MSU-horticulture-farm-bees-095001,213
2022-06-24,MSU-horticulture-farm-bees-095001,214
2022-06-24,MSU-horticulture-farm-bees-095001,215
2022-06-24,MSU-horticulture-farm-bees-095001,216
2022-06-24,MSU-horticulture-farm-bees-095001,218
2022-06-24,MSU-horticulture-farm-bees-095001,224
2022-06-24,MSU-horticulture-farm-bees-095001,226
2022-06-24,MSU-horticulture-farm-bees-095001,247
2022-06-24,MSU-horticulture-farm-bees-095001,248
2022-06-24,MSU-horticulture-farm-bees-095001,253
2022-06-24,MSU-horticulture-farm-bees-104012,22
2022-06-24,MSU-horticulture-farm-bees-104012,83
2022-06-24,MSU-horticulture-farm-bees-104012,115
2022-06-24,MSU-horticulture-farm-bees-104012,126
2022-06-24,MSU-horticulture-farm-bees-104012,127
2022-06-24,MSU-horticulture-farm-bees-104012,132
2022-06-24,MSU-horticulture-farm-bees-104012,137
2022-06-24,MSU-horticulture-farm-bees-104012,155
2022-06-24,MSU-horticulture-farm-bees-104012,231
2022-06-24,MSU-horticulture-farm-bees-105017,2
2022-06-24,MSU-horticulture-farm-bees-105017,35
2022-06-24,MSU-horticulture-farm-bees-105017,36
2022-06-24,MSU-horticulture-farm-bees-105017,91
2022-06-24,MSU-horticulture-farm-bees-105017,92
2022-06-24,MSU-horticulture-farm-bees-105017,105
2022-06-24,MSU-horticulture-farm-bees-105017,112
2022-06-24,MSU-horticulture-farm-bees-105017,130
2022-06-24,MSU-horticulture-farm-bees-105017,235
2022-06-24,MSU-horticulture-farm-bees-110409,7
2022-06-24,MSU-horticulture-farm-bees-110409,8
2022-06-24,MSU-horticulture-farm-bees-110409,10
2022-06-24,MSU-horticulture-farm-bees-110409,18
2022-06-24,MSU-horticulture-farm-bees-110409,49
2022-06-24,MSU-horticulture-farm-bees-110409,50
2022-06-24,MSU-horticulture-farm-bees-110409,69
2022-06-24,MSU-horticulture-farm-bees-110409,71
2022-06-24,MSU-horticulture-farm-bees-110409,72
2022-06-24,MSU-horticulture-farm-bees-110409,76
2022-06-24,MSU-horticulture-farm-bees-110409,77
2022-06-24,MSU-horticulture-farm-bees-110409,79
2022-06-24,MSU-horticulture-farm-bees-110409,85
2022-06-24,MSU-horticulture-farm-bees-110409,89
2022-06-24,MSU-horticulture-farm-bees-110409,91
2022-06-24,MSU-horticulture-farm-bees-110409,93
2022-06-24,MSU-horticulture-farm-bees-110409,108
2022-06-24,MSU-horticulture-farm-bees-110409,115
2022-06-24,MSU-horticulture-farm-bees-110409,116
2022-06-24,MSU-horticulture-farm-bees-110409,119
2022-06-24,MSU-horticulture-farm-bees-110409,120
2022-06-24,MSU-horticulture-farm-bees-110409,128
2022-06-24,MSU-horticulture-farm-bees-110409,131
2022-06-24,MSU-horticulture-farm-bees-110409,136
2022-06-24,MSU-horticulture-farm-bees-110409,139
2022-06-24,MSU-horticulture-farm-bees-110409,145
2022-06-24,MSU-horticulture-farm-bees-110409,155
2022-06-24,MSU-horticulture-farm-bees-110409,156
2022-06-24,MSU-horticulture-farm-bees-110409,161
2022-06-24,MSU-horticulture-farm-bees-110409,186
2022-06-24,MSU-horticulture-farm-bees-110409,191
2022-06-24,MSU-horticulture-farm-bees-110409,192
2022-06-24,MSU-horticulture-farm-bees-110409,193
2022-06-24,MSU-horticulture-farm-bees-110409,195
2022-06-24,MSU-horticulture-farm-bees-110409,201
2022-06-24,MSU-horticulture-farm-bees-110409,202
2022-06-24,MSU-horticulture-farm-bees-110409,204
2022-06-24,MSU-horticulture-farm-bees-110409,206
2022-06-24,MSU-horticulture-farm-bees-110409,212
2022-06-24,MSU-horticulture-farm-bees-110409,213
2022-06-24,MSU-horticulture-farm-bees-110409,221
2022-06-24,MSU-horticulture-farm-bees-110409,227
2022-06-24,MSU-horticulture-farm-bees-110409,235
2022-06-24,MSU-horticulture-farm-bees-111746,4
2022-06-24,MSU-horticulture-farm-bees-111746,5
2022-06-24,MSU-horticulture-farm-bees-111746,9
2022-06-24,MSU-horticulture-farm-bees-111746,12
2022-06-24,MSU-horticulture-farm-bees-111746,29
2022-06-24,MSU-horticulture-farm-bees-111746,34
2022-06-24,MSU-horticulture-farm-bees-111746,58
2022-06-24,MSU-horticulture-farm-bees-111746,68
2022-06-24,MSU-horticulture-farm-bees-111746,71
2022-06-24,MSU-horticulture-farm-bees-111746,88
2022-06-24,MSU-horticulture-farm-bees-111746,98
2022-06-24,MSU-horticulture-farm-bees-111746,100
2022-06-24,MSU-horticulture-farm-bees-111746,130
2022-06-24,MSU-horticulture-farm-bees-111746,144
2022-06-24,MSU-horticulture-farm-bees-111746,147
2022-06-24,MSU-horticulture-farm-bees-111746,150
2022-06-24,MSU-horticulture-farm-bees-111746,191
2022-06-24,MSU-horticulture-farm-bees-111746,233
2022-06-24,MSU-horticulture-farm-bees-111746,239
2022-06-24,MSU-horticulture-farm-bees-111746,244
2022-06-24,MSU-horticulture-farm-bees-111746,250
2022-06-24,MSU-horticulture-farm-bees-113017,3
2022-06-24,MSU-horticulture-farm-bees-113017,6
2022-06-24,MSU-horticulture-farm-bees-113017,22
2022-06-24,MSU-horticulture-farm-bees-113017,23
2022-06-24,MSU-horticulture-farm-bees-113017,33
2022-06-24,MSU-horticulture-farm-bees-113017,38
2022-06-24,MSU-horticulture-farm-bees-113017,44
2022-06-24,MSU-horticulture-farm-bees-113017,48
2022-06-24,MSU-horticulture-farm-bees-113017,51
2022-06-24,MSU-horticulture-farm-bees-113017,60
2022-06-24,MSU-horticulture-farm-bees-113017,62
2022-06-24,MSU-horticulture-farm-bees-113017,66
2022-06-24,MSU-horticulture-farm-bees-113017,73
2022-06-24,MSU-horticulture-farm-bees-113017,80
2022-06-24,MSU-horticulture-farm-bees-113017,87
2022-06-24,MSU-horticulture-farm-bees-113017,90
2022-06-24,MSU-horticulture-farm-bees-113017,93
2022-06-24,MSU-horticulture-farm-bees-113017,101
2022-06-24,MSU-horticulture-farm-bees-113017,103
2022-06-24,MSU-horticulture-farm-bees-113017,109
2022-06-24,MSU-horticulture-farm-bees-113017,123
2022-06-24,MSU-horticulture-farm-bees-113017,128
2022-06-24,MSU-horticulture-farm-bees-113017,129
2022-06-24,MSU-horticulture-farm-bees-113017,135
2022-06-24,MSU-horticulture-farm-bees-113017,138
2022-06-24,MSU-horticulture-farm-bees-113017,139
2022-06-24,MSU-horticulture-farm-bees-113017,146
2022-06-24,MSU-horticulture-farm-bees-113017,148
2022-06-24,MSU-horticulture-farm-bees-113017,152
2022-06-24,MSU-horticulture-farm-bees-113017,158
2022-06-24,MSU-horticulture-farm-bees-113017,159
2022-06-24,MSU-horticulture-farm-bees-113017,173
2022-06-24,MSU-horticulture-farm-bees-113017,181
2022-06-24,MSU-horticulture-farm-bees-113017,183
2022-06-24,MSU-horticulture-farm-bees-113017,186
2022-06-24,MSU-horticulture-farm-bees-113017,193
2022-06-24,MSU-horticulture-farm-bees-113017,196
2022-06-24,MSU-horticulture-farm-bees-113017,198
2022-06-24,MSU-horticulture-farm-bees-113017,203
2022-06-24,MSU-horticulture-farm-bees-113017,223
2022-06-24,MSU-horticulture-farm-bees-113017,226
2022-06-24,MSU-horticulture-farm-bees-113017,229
2022-06-24,MSU-horticulture-farm-bees-113017,232
2022-06-24,MSU-horticulture-farm-bees-113017,242
2022-06-24,MSU-horticulture-farm-bees-113017,246
2022-06-24,MSU-horticulture-farm-bees-113017,247
2022-06-24,MSU-horticulture-farm-bees-113017,250
2022-06-24,MSU-horticulture-farm-bees-114343,2
2022-06-24,MSU-horticulture-farm-bees-114343,3
2022-06-24,MSU-horticulture-farm-bees-114343,4
2022-06-24,MSU-horticulture-farm-bees-114343,12
2022-06-24,MSU-horticulture-farm-bees-114343,13
2022-06-24,MSU-horticulture-farm-bees-114343,14
2022-06-24,MSU-horticulture-farm-bees-114343,15
2022-06-24,MSU-horticulture-farm-bees-114343,17
2022-06-24,MSU-horticulture-farm-bees-114343,22
2022-06-24,MSU-horticulture-farm-bees-114343,26
2022-06-24,MSU-horticulture-farm-bees-114343,28
2022-06-24,MSU-horticulture-farm-bees-114343,37
2022-06-24,MSU-horticulture-farm-bees-114343,41
2022-06-24,MSU-horticulture-farm-bees-114343,44
2022-06-24,MSU-horticulture-farm-bees-114343,45
2022-06-24,MSU-horticulture-farm-bees-114343,52
2022-06-24,MSU-horticulture-farm-bees-114343,53
2022-06-24,MSU-horticulture-farm-bees-114343,54
2022-06-24,MSU-horticulture-farm-bees-114343,58
2022-06-24,MSU-horticulture-farm-bees-114343,61
2022-06-24,MSU-horticulture-farm-bees-114343,64
2022-06-24,MSU-horticulture-farm-bees-114343,70
2022-06-24,MSU-horticulture-farm-bees-114343,73
2022-06-24,MSU-horticulture-farm-bees-114343,80
2022-06-24,MSU-horticulture-farm-bees-114343,85
2022-06-24,MSU-horticulture-farm-bees-114343,91
2022-06-24,MSU-horticulture-farm-bees-114343,94
2022-06-24,MSU-horticulture-farm-bees-114343,96
2022-06-24,MSU-horticulture-farm-bees-114343,99
2022-06-24,MSU-horticulture-farm-bees-114343,107
2022-06-24,MSU-horticulture-farm-bees-114343,115
2022-06-24,MSU-horticulture-farm-bees-114343,129
2022-06-24,MSU-horticulture-farm-bees-114343,135
2022-06-24,MSU-horticulture-farm-bees-114343,137
2022-06-24,MSU-horticulture-farm-bees-114343,140
2022-06-24,MSU-horticulture-farm-bees-114343,141
2022-06-24,MSU-horticulture-farm-bees-114343,143
2022-06-24,MSU-horticulture-farm-bees-114343,144
2022-06-24,MSU-horticulture-farm-bees-114343,147
2022-06-24,MSU-horticulture-farm-bees-114343,148
2022-06-24,MSU-horticulture-farm-bees-114343,155
2022-06-24,MSU-horticulture-farm-bees-114343,166
2022-06-24,MSU-horticulture-farm-bees-114343,171
2022-06-24,MSU-horticulture-farm-bees-114343,172
2022-06-24,MSU-horticulture-farm-bees-114343,177
2022-06-24,MSU-horticulture-farm-bees-114343,179
2022-06-24,MSU-horticulture-farm-bees-114343,189
2022-06-24,MSU-horticulture-farm-bees-114343,195
2022-06-24,MSU-horticulture-farm-bees-114343,203
2022-06-24,MSU-horticulture-farm-bees-114343,207
2022-06-24,MSU-horticulture-farm-bees-114343,208
2022-06-24,MSU-horticulture-farm-bees-114343,214
2022-06-24,MSU-horticulture-farm-bees-114343,218
2022-06-24,MSU-horticulture-farm-bees-114343,225
2022-06-24,MSU-horticulture-farm-bees-114343,231
2022-06-24,MSU-horticulture-farm-bees-114343,235
2022-06-24,MSU-horticulture-farm-bees-114343,237
2022-06-24,MSU-horticulture-farm-bees-114343,240
2022-06-24,MSU-horticulture-farm-bees-114343,245
2022-06-24,MSU-horticulture-farm-bees-114343,249
2022-06-24,MSU-horticulture-farm-bees-114343,250
2022-06-24,MSU-horticulture-farm-bees-114343,255
2022-06-24,MSU-horticulture-farm-bees-115816,1
2022-06-24,MSU-horticulture-farm-bees-115816,18
2022-06-24,MSU-horticulture-farm-bees-115816,26
2022-06-24,MSU-horticulture-farm-bees-115816,30
2022-06-24,MSU-horticulture-farm-bees-115816,35
2022-06-24,MSU-horticulture-farm-bees-115816,36
