fp1,fp2,fp3
2022-06-24,MSU-horticulture-farm-bees-115816,331
2022-06-24,MSU-horticulture-farm-bees-115816,360
2022-06-24,MSU-horticulture-farm-bees-115816,443
2022-06-24,MSU-horticulture-farm-bees-115816,444
2022-06-24,MSU-horticulture-farm-bees-115816,487
2022-06-24,MSU-horticulture-farm-bees-115816,549
2022-06-24,MSU-horticulture-farm-bees-115816,558
2022-06-24,MSU-horticulture-farm-bees-115816,565
2022-06-24,MSU-horticulture-farm-bees-115816,588
2022-06-24,MSU-horticulture-farm-bees-115816,627
2022-06-24,MSU-horticulture-farm-bees-115816,759
2022-06-24,MSU-horticulture-farm-bees-115816,839
2022-06-24,MSU-horticulture-farm-bees-115816,853
2022-06-24,MSU-horticulture-farm-bees-115816,917
