fn1,fn2,fn3
2022-06-23,MSU-horticulture-farm-bees-145241,82
2022-06-23,MSU-horticulture-farm-bees-145241,83
2022-06-23,MSU-horticulture-farm-bees-145241,87
2022-06-23,MSU-horticulture-farm-bees-145241,90
2022-06-23,MSU-horticulture-farm-bees-145241,93
2022-06-23,MSU-horticulture-farm-bees-145241,97
2022-06-23,MSU-horticulture-farm-bees-145241,101
2022-06-23,MSU-horticulture-farm-bees-145241,106
2022-06-23,MSU-horticulture-farm-bees-145241,108
2022-06-23,MSU-horticulture-farm-bees-145241,109
2022-06-23,MSU-horticulture-farm-bees-145241,111
2022-06-23,MSU-horticulture-farm-bees-145241,116
2022-06-23,MSU-horticulture-farm-bees-145241,118
2022-06-23,MSU-horticulture-farm-bees-145241,120
2022-06-23,MSU-horticulture-farm-bees-145241,123
2022-06-23,MSU-horticulture-farm-bees-145241,124
2022-06-23,MSU-horticulture-farm-bees-145241,125
2022-06-23,MSU-horticulture-farm-bees-145241,130
2022-06-23,MSU-horticulture-farm-bees-145241,132
2022-06-23,MSU-horticulture-farm-bees-145241,133
2022-06-23,MSU-horticulture-farm-bees-145241,134
2022-06-23,MSU-horticulture-farm-bees-145241,141
2022-06-23,MSU-horticulture-farm-bees-145241,142
2022-06-23,MSU-horticulture-farm-bees-145241,143
2022-06-23,MSU-horticulture-farm-bees-145241,144
2022-06-23,MSU-horticulture-farm-bees-145241,145
2022-06-23,MSU-horticulture-farm-bees-145241,150
2022-06-23,MSU-horticulture-farm-bees-145241,151
2022-06-23,MSU-horticulture-farm-bees-145241,159
2022-06-23,MSU-horticulture-farm-bees-145241,161
2022-06-23,MSU-horticulture-farm-bees-145241,168
2022-06-23,MSU-horticulture-farm-bees-145241,171
2022-06-23,MSU-horticulture-farm-bees-145241,172
2022-06-23,MSU-horticulture-farm-bees-145241,177
2022-06-23,MSU-horticulture-farm-bees-145241,179
2022-06-23,MSU-horticulture-farm-bees-145241,180
2022-06-23,MSU-horticulture-farm-bees-145241,182
2022-06-23,MSU-horticulture-farm-bees-145241,188
2022-06-23,MSU-horticulture-farm-bees-145241,191
2022-06-23,MSU-horticulture-farm-bees-145241,198
2022-06-23,MSU-horticulture-farm-bees-145241,201
2022-06-23,MSU-horticulture-farm-bees-145241,202
2022-06-23,MSU-horticulture-farm-bees-145241,204
2022-06-23,MSU-horticulture-farm-bees-145241,209
2022-06-23,MSU-horticulture-farm-bees-145241,212
2022-06-23,MSU-horticulture-farm-bees-145241,214
2022-06-23,MSU-horticulture-farm-bees-145241,215
2022-06-23,MSU-horticulture-farm-bees-145241,217
2022-06-23,MSU-horticulture-farm-bees-145241,218
2022-06-23,MSU-horticulture-farm-bees-145241,220
2022-06-23,MSU-horticulture-farm-bees-145241,232
2022-06-23,MSU-horticulture-farm-bees-145241,233
2022-06-23,MSU-horticulture-farm-bees-145241,235
2022-06-23,MSU-horticulture-farm-bees-145241,237
2022-06-23,MSU-horticulture-farm-bees-145241,239
2022-06-23,MSU-horticulture-farm-bees-145241,241
2022-06-23,MSU-horticulture-farm-bees-145241,250
2022-06-23,MSU-horticulture-farm-bees-145241,255
2022-06-24,MSU-horticulture-farm-bees-095001,17
2022-06-24,MSU-horticulture-farm-bees-095001,22
2022-06-24,MSU-horticulture-farm-bees-095001,36
2022-06-24,MSU-horticulture-farm-bees-095001,38
2022-06-24,MSU-horticulture-farm-bees-095001,49
2022-06-24,MSU-horticulture-farm-bees-095001,54
2022-06-24,MSU-horticulture-farm-bees-095001,63
2022-06-24,MSU-horticulture-farm-bees-095001,72
2022-06-24,MSU-horticulture-farm-bees-095001,73
2022-06-24,MSU-horticulture-farm-bees-095001,75
2022-06-24,MSU-horticulture-farm-bees-095001,87
2022-06-24,MSU-horticulture-farm-bees-095001,88
2022-06-24,MSU-horticulture-farm-bees-095001,90
2022-06-24,MSU-horticulture-farm-bees-095001,104
2022-06-24,MSU-horticulture-farm-bees-095001,107
2022-06-24,MSU-horticulture-farm-bees-095001,121
2022-06-24,MSU-horticulture-farm-bees-095001,145
2022-06-24,MSU-horticulture-farm-bees-095001,150
2022-06-24,MSU-horticulture-farm-bees-095001,154
2022-06-24,MSU-horticulture-farm-bees-095001,164
2022-06-24,MSU-horticulture-farm-bees-095001,186
2022-06-24,MSU-horticulture-farm-bees-095001,188
2022-06-24,MSU-horticulture-farm-bees-095001,192
2022-06-24,MSU-horticulture-farm-bees-095001,217
2022-06-24,MSU-horticulture-farm-bees-095001,221
2022-06-24,MSU-horticulture-farm-bees-095001,222
2022-06-24,MSU-horticulture-farm-bees-095001,238
2022-06-24,MSU-horticulture-farm-bees-104012,23
2022-06-24,MSU-horticulture-farm-bees-104012,30
2022-06-24,MSU-horticulture-farm-bees-104012,34
2022-06-24,MSU-horticulture-farm-bees-104012,36
2022-06-24,MSU-horticulture-farm-bees-104012,40
2022-06-24,MSU-horticulture-farm-bees-104012,43
2022-06-24,MSU-horticulture-farm-bees-104012,49
2022-06-24,MSU-horticulture-farm-bees-104012,62
2022-06-24,MSU-horticulture-farm-bees-104012,67
2022-06-24,MSU-horticulture-farm-bees-104012,68
2022-06-24,MSU-horticulture-farm-bees-104012,69
2022-06-24,MSU-horticulture-farm-bees-104012,76
2022-06-24,MSU-horticulture-farm-bees-104012,86
2022-06-24,MSU-horticulture-farm-bees-104012,90
2022-06-24,MSU-horticulture-farm-bees-104012,91
2022-06-24,MSU-horticulture-farm-bees-104012,95
2022-06-24,MSU-horticulture-farm-bees-104012,98
2022-06-24,MSU-horticulture-farm-bees-104012,101
2022-06-24,MSU-horticulture-farm-bees-104012,103
2022-06-24,MSU-horticulture-farm-bees-104012,104
2022-06-24,MSU-horticulture-farm-bees-104012,105
2022-06-24,MSU-horticulture-farm-bees-104012,106
2022-06-24,MSU-horticulture-farm-bees-104012,108
2022-06-24,MSU-horticulture-farm-bees-104012,109
2022-06-24,MSU-horticulture-farm-bees-104012,110
2022-06-24,MSU-horticulture-farm-bees-104012,111
2022-06-24,MSU-horticulture-farm-bees-104012,116
2022-06-24,MSU-horticulture-farm-bees-104012,119
2022-06-24,MSU-horticulture-farm-bees-104012,121
2022-06-24,MSU-horticulture-farm-bees-104012,130
2022-06-24,MSU-horticulture-farm-bees-104012,131
2022-06-24,MSU-horticulture-farm-bees-104012,147
2022-06-24,MSU-horticulture-farm-bees-104012,148
2022-06-24,MSU-horticulture-farm-bees-104012,153
2022-06-24,MSU-horticulture-farm-bees-104012,164
2022-06-24,MSU-horticulture-farm-bees-104012,173
